model,ablang,antifold,esm1f,esm1v,nanobert,pyrosetta
ablang,1.0,0.669318151366804,0.34919049670936464,0.8346009395723463,0.5623438076418528,0.11417811106193002
antifold,0.669318151366804,1.0,0.6926156778993359,0.7883180835294575,0.5973701788884949,0.28314013932656934
esm1f,0.34919049670936464,0.6926156778993359,1.0,0.3981489648007745,0.2526507585713107,0.36657458864110193
esm1v,0.8346009395723463,0.7883180835294575,0.3981489648007745,1.0,0.7170335247659527,0.15103395868507463
nanobert,0.5623438076418528,0.5973701788884949,0.2526507585713107,0.7170335247659527,1.0,0.09949603045303067
pyrosetta,0.11417811106193002,0.28314013932656934,0.36657458864110193,0.15103395868507463,0.09949603045303067,1.0
